"","datetime","discharge_daily"
"672",2015-11-03,4574.2125
"673",2015-11-04,4517.99583333333
"674",2015-11-05,4581.94583333333
"675",2015-11-06,4479.38333333333
"676",2015-11-07,4294.275
"677",2015-11-08,4074.42083333333
"678",2015-11-09,3893.83333333333
"679",2015-11-10,5009.58333333333
"680",2015-11-11,4822.31666666667
"681",2015-11-12,4738.75
"682",2015-11-13,4773.45
"683",2015-11-14,4721.67083333333
"684",2015-11-15,4594.68333333333
"685",2015-11-16,4454.68333333333
"686",2015-11-17,4339.55416666667
"687",2015-11-18,4245.8
"688",2015-11-19,4769.1875
"689",2015-11-20,5451.22916666667
"690",2015-11-21,5435.375
"691",2015-11-22,5309.275
"692",2015-11-23,5152.96666666667
"693",2015-11-24,5002.41666666667
"694",2015-11-25,4867.62916666667
"695",2015-11-26,4707.03333333333
"696",2015-11-27,4488.65
"697",2015-11-28,4253.12916666667
"698",2015-11-29,4310.54166666667
"699",2015-11-30,4373.65
"700",2015-12-01,5355.65
"701",2015-12-02,6265.6375
"702",2015-12-03,6937.4125
"703",2015-12-04,7275.5125
"704",2015-12-05,7673.8625
"705",2015-12-06,8525.54166666667
"706",2015-12-07,9317.77083333333
"707",2015-12-08,9390.75
"708",2015-12-09,8932.66666666667
"709",2015-12-10,8300.35833333333
"710",2015-12-11,7702.8875
"711",2015-12-12,7188.64166666667
"712",2015-12-13,6714.60833333333
"713",2015-12-14,6277.1375
"714",2015-12-15,5904.70833333333
"715",2015-12-16,5566.10416666667
"716",2015-12-17,5686.05833333333
"717",2015-12-18,5836.975
"718",2015-12-19,5616.03333333333
"719",2015-12-20,5446.675
"720",2015-12-21,5323.75416666667
"721",2015-12-22,5366.87083333333
"722",2015-12-23,5857.39583333333
"723",2015-12-24,7139.30833333333
"724",2015-12-25,8227.64166666667
"725",2015-12-26,12060.875
"726",2015-12-27,12146.8333333333
"727",2015-12-28,10627.1666666667
"728",2015-12-29,13545.4166666667
"729",2015-12-30,17458.75
"730",2015-12-31,17109.2083333333
"731",2016-01-01,15609.4583333333
"732",2016-01-02,14371.75
"733",2016-01-03,12989.4583333333
"734",2016-01-04,11680.875
"735",2016-01-05,10610.9166666667
"736",2016-01-06,9750.25
"737",2016-01-07,9072.3875
"738",2016-01-08,8470.52916666667
"739",2016-01-09,7908.54166666667
"740",2016-01-10,15011.55
"741",2016-01-11,22560.6666666667
"742",2016-01-12,21815.9583333333
"743",2016-01-13,18189.7916666667
"744",2016-01-14,15327.9583333333
"745",2016-01-15,13276.25
"746",2016-01-16,13575.5416666667
"747",2016-01-17,13337.0416666667
"748",2016-01-18,12312.8333333333
"749",2016-01-19,11332.7083333333
"750",2016-01-20,10660.625
"751",2016-01-21,10095.5625
"752",2016-01-22,9565.175
"753",2016-01-23,9393.45
"754",2016-01-24,9141.25416666667
"755",2016-01-25,8607.87916666667
"756",2016-01-26,8092.68333333333
"757",2016-01-27,7842.18333333333
"758",2016-01-28,7884.925
"759",2016-01-29,8174.60833333333
"760",2016-01-30,9017.95
"761",2016-01-31,10183.6958333333
"762",2016-02-01,12387.25
"763",2016-02-02,16295.875
"764",2016-02-03,25196.875
"765",2016-02-04,49853.375
"766",2016-02-05,60056.6666666667
"767",2016-02-06,56274.7083333333
"768",2016-02-07,44966.75
"769",2016-02-08,34049.0833333333
"770",2016-02-09,28808.9583333333
"771",2016-02-10,26232.5416666667
"772",2016-02-11,23882.75
"773",2016-02-12,21365.8333333333
"774",2016-02-13,19273.2916666667
"775",2016-02-14,17540.125
"776",2016-02-15,16086.0416666667
"777",2016-02-16,21330.5
